date,code,stock_name,market,horizon_trading_days,evaluation_status,forward_date,target_side,target_weight,raw_forward_return_pct,weighted_return_contribution_pct,source_signal_state,target_mode,pnl_mode,order_intent_generated
2025-02-05,160190,하이젠알앤엠,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.1190,0.0060,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,351320,에스에이티이엔지,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-7.4627,-0.3731,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,010100,한국무브넥스,KOSPI,1,complete,2025-02-06,LONG,0.050000,3.6932,0.1847,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,098460,고영,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-0.8470,-0.0423,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,168360,펨트론,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,2.4590,0.1230,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,277810,레인보우로보틱스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.9434,0.0472,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,301300,바이브컴퍼니,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.5908,0.0295,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,123010,아이윈플러스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-6.7876,-0.3394,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,332570,와이팜,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,6.9246,0.3462,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,430690,한싹,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-2.9734,-0.1487,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,382150,온코크로스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,29.9205,1.4960,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,042660,한화오션,KOSPI,1,complete,2025-02-06,LONG,0.050000,2.8333,0.1417,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,208710,바이오로그디바이스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-4.0480,-0.2024,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,042000,카페24,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.1779,0.0089,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,297090,씨에스베어링,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,3.8514,0.1926,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,051630,진양화학,KOSPI,1,complete,2025-02-06,LONG,0.050000,-5.2536,-0.2627,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,317830,에스피시스템스,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,8.6168,0.4308,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,108490,로보티즈,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,-4.5510,-0.2276,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,080220,제주반도체,KOSDAQ,1,complete,2025-02-06,LONG,0.050000,0.9266,0.0463,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-05,010770,평화홀딩스,KOSPI,1,complete,2025-02-06,LONG,0.050000,-0.9284,-0.0464,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,160190,하이젠알앤엠,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,-4.5184,-0.2259,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
