date,code,stock_name,market,target_side,target_weight,rank_in_portfolio,source_signal_state,source_rank_in_date_state,source_roc_pct,source_strategy,source_signal_mode,portfolio_mode,target_mode,order_intent_generated
2025-02-05,160190,하이젠알앤엠,KOSDAQ,LONG,0.050000,1,BUY candidate,1,141.1022,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,351320,에스에이티이엔지,KOSDAQ,LONG,0.050000,2,BUY candidate,2,130.3285,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,010100,한국무브넥스,KOSPI,LONG,0.050000,3,BUY candidate,3,120.3443,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,098460,고영,KOSDAQ,LONG,0.050000,4,BUY candidate,4,99.2126,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,168360,펨트론,KOSDAQ,LONG,0.050000,5,BUY candidate,5,85.5513,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,277810,레인보우로보틱스,KOSDAQ,LONG,0.050000,6,BUY candidate,6,75.4137,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,301300,바이브컴퍼니,KOSDAQ,LONG,0.050000,7,BUY candidate,7,69.2500,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,123010,아이윈플러스,KOSDAQ,LONG,0.050000,8,BUY candidate,8,67.9721,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,332570,와이팜,KOSDAQ,LONG,0.050000,9,BUY candidate,9,66.1591,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,430690,한싹,KOSDAQ,LONG,0.050000,10,BUY candidate,10,65.5440,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,382150,온코크로스,KOSDAQ,LONG,0.050000,11,BUY candidate,11,58.9258,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,042660,한화오션,KOSPI,LONG,0.050000,12,BUY candidate,12,58.7302,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,208710,바이오로그디바이스,KOSDAQ,LONG,0.050000,13,BUY candidate,13,56.9412,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,042000,카페24,KOSDAQ,LONG,0.050000,14,BUY candidate,14,56.5460,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,297090,씨에스베어링,KOSDAQ,LONG,0.050000,15,BUY candidate,15,56.0086,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,051630,진양화학,KOSPI,LONG,0.050000,16,BUY candidate,16,55.2743,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,317830,에스피시스템스,KOSDAQ,LONG,0.050000,17,BUY candidate,17,54.1958,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,108490,로보티즈,KOSDAQ,LONG,0.050000,18,BUY candidate,18,53.3962,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,080220,제주반도체,KOSDAQ,LONG,0.050000,19,BUY candidate,19,52.5000,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-05,010770,평화홀딩스,KOSPI,LONG,0.050000,20,BUY candidate,20,52.3232,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
2025-02-06,160190,하이젠알앤엠,KOSDAQ,LONG,0.050000,1,BUY candidate,1,140.4231,001-strategy-universe-momentum,paper_signal_candidate_only,long_only,paper_portfolio_target_smoke_only,false
