date,code,stock_name,market,close,signal_state,roc_pct,lookback,rank_in_date_state,source_strategy,signal_mode,pit_liquidity_final_status
2025-02-04,010100,한국무브넥스,KOSPI,6180,BUY candidate,59.8965,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,300080,플리토,KOSDAQ,25200,BUY candidate,52.6348,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,160190,하이젠알앤엠,KOSDAQ,42000,BUY candidate,51.8987,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,301300,바이브컴퍼니,KOSDAQ,6020,BUY candidate,46.8293,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,113810,디젠스,KOSDAQ,1775,BUY candidate,44.3089,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,382150,온코크로스,KOSDAQ,9700,BUY candidate,42.8571,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,051630,진양화학,KOSPI,4945,BUY candidate,42.3022,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,000910,유니온,KOSPI,6990,BUY candidate,34.9421,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,277810,레인보우로보틱스,KOSDAQ,340000,BUY candidate,34.3874,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,042000,카페24,KOSDAQ,54200,BUY candidate,33.9926,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,450520,인스웨이브시스템즈,KOSDAQ,5120,BUY candidate,32.1290,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,010170,대한광통신,KOSDAQ,1072,BUY candidate,31.6953,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,232680,라온테크,KOSDAQ,9080,BUY candidate,31.5942,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,101000,KS인더스트리,KOSDAQ,2480,BUY candidate,29.3014,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,032580,피델릭스,KOSDAQ,1584,BUY candidate,28.3630,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,310210,보로노이,KOSDAQ,94000,BUY candidate,27.3713,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,033160,엠케이전자,KOSDAQ,8940,BUY candidate,26.8085,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,315640,딥노이드,KOSDAQ,7700,BUY candidate,26.6447,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,219550,디와이디,KOSDAQ,744,BUY candidate,25.4637,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,416180,신성에스티,KOSDAQ,37450,BUY candidate,25.4606,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,381620,제닉스,KOSDAQ,8750,SELL candidate,-70.6868,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,064960,SNT모티브,KOSPI,26000,SELL candidate,-48.7179,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,065650,하이퍼코퍼레이션,KOSDAQ,686,SELL candidate,-46.4063,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,024830,세원물산,KOSDAQ,8430,SELL candidate,-29.1001,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,080580,오킨스전자,KOSDAQ,5290,SELL candidate,-26.1173,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,031980,피에스케이홀딩스,KOSDAQ,46400,SELL candidate,-23.6842,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,033100,제룡전기,KOSDAQ,45350,SELL candidate,-22.4786,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,009470,삼화전기,KOSPI,32850,SELL candidate,-21.9715,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,051980,중앙첨단소재,KOSDAQ,6590,SELL candidate,-21.5476,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,089030,테크윙,KOSDAQ,41000,SELL candidate,-21.1538,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,095340,ISC,KOSDAQ,60600,SELL candidate,-20.7843,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,204270,제이앤티씨,KOSDAQ,18920,SELL candidate,-20.6709,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,008730,율촌화학,KOSPI,26000,SELL candidate,-20.6107,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,387570,파인메딕스,KOSDAQ,7550,SELL candidate,-19.8514,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,079900,전진건설로봇,KOSPI,36850,SELL candidate,-19.6292,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,365330,에스와이스틸텍,KOSDAQ,6720,SELL candidate,-19.3277,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,004870,티웨이홀딩스,KOSPI,975,SELL candidate,-19.0199,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,451220,아이엠티,KOSDAQ,9520,SELL candidate,-18.6325,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,417840,저스템,KOSDAQ,8380,SELL candidate,-18.5617,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-04,011790,SKC,KOSPI,139600,SELL candidate,-18.5531,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-05,351320,에스에이티이엔지,KOSDAQ,3015,BUY candidate,112.1745,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-05,010100,한국무브넥스,KOSPI,7040,BUY candidate,88.2353,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-05,301300,바이브컴퍼니,KOSDAQ,6770,BUY candidate,68.4080,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-05,300080,플리토,KOSDAQ,26150,BUY candidate,63.4375,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-02-05,160190,하이젠알앤엠,KOSDAQ,42000,BUY candidate,59.6958,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
