code,market,status_type,lifecycle_gap_status,active_like_rows,release_like_rows,first_active_event_date,latest_active_event_date,first_release_like_event_date,latest_release_like_event_date,market_rows,market_start,market_end,event_sources,raw_paths,notes
000040,KOSPI,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
000300,KOSPI,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
000890,KOSPI,market_alert,missing_release_resume_evidence,2,0,2026-06-24,2026-07-08,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_warning.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
001000,KOSDAQ,market_alert,missing_release_resume_evidence,1,0,2026-07-09,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-09/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
001210,KOSPI,market_alert,missing_release_resume_evidence,1,0,2026-06-30,2026-06-30,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_warning.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_warning.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/market_alert_warning.xls,release_resume_collection_target
001420,KOSPI,market_alert,missing_release_resume_evidence,1,0,2026-07-08,2026-07-08,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_caution.xls,release_resume_collection_target
001470,KOSPI,managed_issue,missing_release_resume_evidence,1,0,2025-04-01,2025-04-01,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
001470,KOSPI,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
001520,KOSPI,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
001525,KOSPI,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
001527,KOSPI,trading_halt,missing_release_resume_evidence,3,0,2026-07-03,2026-07-09,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/trading_halt.xls,release_resume_collection_target
001570,KOSPI,managed_issue,missing_release_resume_evidence,1,0,2026-03-05,2026-03-05,,,72,2025-01-02,2025-04-18,kind,_report/raw/2026/2026-07-03/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls;_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,release_resume_collection_target
